-0.105143	1.177965	-0.335182	-0.037109	-0.004039	1.000000
-0.532236	-0.660193	-1.163405	1.995269	0.027487	5.000000
0.176073	-0.407559	0.841841	-1.827161	0.028193	3.000000
-0.299886	4.134328	-0.011093	0.483057	0.045879	10.000000
-0.105143	1.177965	-0.335182	-0.037109	-0.004039	1.000000
-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	3.000000
-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	-nan(ind)	3.000000
0.176073	-0.407559	0.841841	-1.827161	0.028193	3.000000
0.170209	-3.870118	-16.641669	-0.637146	0.137868	15.000000
-0.105143	1.177965	-0.335182	-0.037109	-0.004039	1.000000
-0.105143	1.177965	-0.335182	-0.037109	-0.004039	1.000000
-0.105143	1.177965	-0.335182	-0.037109	-0.004039	1.000000
-0.105143	1.177965	-0.335182	-0.037109	-0.004039	1.000000
-0.105143	1.177965	-0.335182	-0.037109	-0.004039	1.000000
-0.105143	1.177965	-0.335182	-0.037109	-0.004039	1.000000
-0.008915	-0.215069	1.205498	-4.084338	0.011662	15.000000
-0.008915	-0.215069	1.205498	-4.084338	0.007220	15.000000
0.156935	0.185761	0.390499	-0.247166	0.003417	1.000000
-0.127053	-0.149202	-0.479988	-1.715188	0.004058	3.000000
-0.281834	0.496120	0.040595	2.386865	0.005586	5.000000
-0.110950	-0.888353	-0.987348	-2.544771	0.006047	10.000000
-0.008915	-0.215069	1.205498	-4.084338	0.007220	15.000000
